AAVSO  (https://www.aavso.org/LCG)                                                                  
HJD                 BJD                  E        (O-C)(days)  Err         
2455463.3618    2455463.362552      68442     0.00221          5E-4
2455464.3398    2455464.340553      68449     0.00238          5E-4
2455490.3214    2455490.322153      68635     0.00165          5E-4
2455777.3847    2455777.385462      70690     0.00214          5E-4
2455783.3909    2455783.391662      70733     0.00167          5E-4
2455903.2455    2455903.246265      71591     0.0023           5E-4
                                                              

Ref(Dhillon V.S., Marsh T.R., Dones D.H.P. 1991, MNRAS,252, 342):
HJD                 BJD                E        (O-C)(days)   Err
2447686.54156       2447686.542205     12770    2.032E-4      5E-4
2447686.68121       2447686.681855     12771    1.6326E-4     5E-4
2447788.37501       2447788.375657     13498    -3.1106E-4    5E-4
2447790.47069       2447790.471337     13514    1.98395E-5    5E-4
2447791.44839       2447791.449037     13520    -1.0974E-4    5E-4
2447793.4038        2447793.404447     13534    -3.589E-4     5E-4
2447794.52177       2447794.522417     13543    9.15797E-5    5E-4
2447795.49947       2447795.500117     13549    -3.79998E-5   5E-4
2447796.47787       2447796.478517     13557    5.3242E-4     5E-4
2447798.43327       2447798.433917     13571    2.7326E-4     5E-4
2447800.38867       2447800.389317     13585    1.40998E-5    5E-4
2447801.36637       2447801.367017     13591    -1.1548E-4    5E-4     

Our new observations                                               
HJD                  BJD                 E        (O-C)(days)      Err   
2456084.28321        2456084.28321       72887     0.00109         5E-5  
2458397.13120        2458397.1312        89444     0.00274         2E-5  
2456429.31806        2456429.31806       75357     0.00178         9E-5  
2455447.01812        2455447.01812       68325     0.0015          8.7E-4
2455453.02407        2455453.02407       68368     7.8408E-4       6E-5  
2456895.04401        2456895.04401       78691     0.00147         9E-5  
